# OTU	G75230	G75231	G75232	G63407	G75234	G63409	G75229	G75228	G63413	G75226	G63406	G63410	G63402	G63403	G75227	G75233	G51190	G75237	G75236	G63411	G75235	taxonomy
198783	0	0	0	10	1	30	0	0	0	0	47	2	0	0	0	0	0	0	5	95	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
297111	0	0	0	3	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
568118	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	163	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri
336830	0	7	11	0	0	26	29	0	0	0	100	0	0	0	0	96	0	0	62	1	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
311587	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	5	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
631764	0	0	0	2	3	0	7	0	0	4	0	3	0	2	0	0	0	22	0	0	0	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Adlercreutzia; s__
585227	14	12	27	27	52	346	5	32	207	29	3	56	0	43	0	18	714	132	4	1	6	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
363507	13	10	0	0	0	329	2	1	0	0	0	0	0	0	0	0	2	6	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__producta
1074210	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__Gemellaceae; g__; s__
364179	0	0	0	1	286	595	0	61	4	111	0	3	43	202	0	20	0	42	0	9	10	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
696563	5	0	32	0	2	116	2	2	64	2	30	1	0	2	0	68	0	74	18	35	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__producta
